SystemNotes,guproplanid,guaccountid,ExpiryDate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,GULCOID,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,BillingDetails,id
0,P000100010000100001000000556,M000100010000100001011730988,05/24/2019,DD KARNATAKA 1,0,,11730988,000080489354,330013343287466,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,2,00509128,,126.13,227.15,,2
0,P000100010000100001000000556,M000100010000100001011745661,06/02/2019,DD KARNATAKA 1,0,,11745661,000042303545,330013360189405,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,3,00508D59,,100.80,198.24,,3
0,P000100010000100001000000556,M000100010000100001012007005,06/02/2019,DD KARNATAKA 1,0,,12007005,000215754250,350117054053796,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,5,00987950,,126.76,227.74,,5
0,P000100010000100001000000556,M000100010000100001012007006,05/21/2019,DD KARNATAKA 1,0,,12007006,000215754292,350117054055650,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,6,00987951,,126.13,227.15,,6
0,P000100010000100001000000556,M000100010000100001012007009,05/31/2019,DD KARNATAKA 1,0,,12007009,000215754409,350117054053705,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,7,00987954,,61.36,153.40,,7
0,P000100010000100001000000556,M000100010000100001012007506,06/02/2019,DD KARNATAKA 1,0,,12007506,000215782988,350116360112957,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,9,0097A5F9,,61.36,153.40,,9
0,P000100010000100001000000556,M000100010000100001012007511,06/02/2019,DD KARNATAKA 1,0,,12007511,000215783101,350116360113179,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,10,0097A625,,100.80,198.24,,10
0,P000100010000100001000000556,M000100010000100001012008751,06/02/2019,DD KARNATAKA 1,0,,12008751,000215839192,350117063029647,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,12,0097AC09,,61.36,153.40,,12
0,P000100010000100001000000556,M000100010000100001012012034,05/31/2019,DD KARNATAKA 1,0,,12012034,000215993379,350117059082253,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,15,009750F2,,61.36,153.40,,15
0,P000100010000100001000000556,M000100010000100001012012037,05/21/2019,DD KARNATAKA 1,0,,12012037,000215993403,350117065025312,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,18,009750F8,,122.60,223.02,,18
0,P000100010000100001000000556,M000100010000100001012522551,06/02/2019,DD KARNATAKA 1,0,,12522551,000214688756,350117054009236,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,24,0098ACBD,,126.13,227.15,,24
0,P000100010000100001000000556,M000100010000100001012523206,05/28/2019,DD KARNATAKA 1,0,,12523206,000214688798,350117054008667,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,25,0098ACBF,,126.13,227.15,,25
0,P000100010000100001000000556,M000100010000100001012526664,05/29/2019,DD KARNATAKA 1,0,,12526664,000214688707,350117054009202,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,26,0098ACBC,,126.13,227.15,,26
0,P000100010000100001000000556,M000100010000100001012536480,05/31/2019,DD KARNATAKA 1,0,,12536480,000216229195,350117058068394,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,29,0098167F,,126.13,227.15,,29
0,P000100010000100001000000556,M000100010000100001012542050,05/28/2019,DD KARNATAKA 1,0,,12542050,000215133752,350117055006512,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,33,0096B9B5,,126.13,227.15,,33
0,P000100010000100001000000556,M000100010000100001012542133,06/01/2019,DD KARNATAKA 1,0,,12542133,000214101842,350117055028284,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,34,0097A8FE,,126.13,227.15,,34
0,P000100010000100001000000556,M000100010000100001012544402,05/28/2019,DD KARNATAKA 1,0,,12544402,000214215121,350117038061865,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,35,0099720A,,145.85,249.57,,35
0,P000100010000100001000000556,M000100010000100001012552129,06/03/2019,DD KARNATAKA 1,0,,12552129,000215783267,350116360113211,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,38,0097A630,,126.13,227.15,,38
0,P000100010000100001000000556,M000100010000100001012556818,05/28/2019,DD KARNATAKA 1,0,,12556818,000215133893,350117055006686,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,39,0096B9CD,,126.13,227.15,,39
0,P000100010000100001000000556,M000100010000100001012570727,05/28/2019,DD KARNATAKA 1,0,,12570727,000215133935,350117055006678,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,45,0096B9C8,,126.13,227.15,,45
0,P000100010000100001000000556,M000100010000100001012571124,05/28/2019,DD KARNATAKA 1,0,,12571124,000214101867,350117055028235,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,46,0097A8E9,,126.13,227.15,,46
0,P000100010000100001000000556,M000100010000100001012571453,06/02/2019,DD KARNATAKA 1,0,,12571453,000215993346,350117059070985,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,47,009750E8,,126.13,227.15,,47
0,P000100010000100001000000556,M000100010000100001012572406,06/01/2019,DD KARNATAKA 1,0,,12572406,000215133612,350117055006587,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,48,0096B9CB,,126.13,227.15,,48
0,P000100010000100001000000556,M000100010000100001012573697,05/31/2019,DD KARNATAKA 1,0,,12573697,000214101891,350117055027963,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,51,0097A8B9,,61.36,153.40,,51
0,P000100010000100001000000556,M000100010000100001012576338,05/25/2019,DD KARNATAKA 1,0,,12576338,000215726589,350117061004634,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,53,009A9EAF,,126.13,227.15,,53
0,P000100010000100001000000556,M000100010000100001012578215,05/30/2019,DD KARNATAKA 1,0,,12578215,000215133653,350117055006579,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,54,0096B9D1,,126.13,227.15,,54
0,P000100010000100001000000556,M000100010000100001012580373,05/21/2019,DD KARNATAKA 1,0,,12580373,000215783077,350116360113252,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,56,0097A63F,,126.13,227.15,,56
0,P000100010000100001000000556,M000100010000100001012584641,05/21/2019,DD KARNATAKA 1,0,,12584641,000215284456,350117055001349,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,58,009AAFAC,,126.13,227.15,,58
0,P000100010000100001000000556,M000100010000100001012587579,05/21/2019,DD KARNATAKA 1,0,,12587579,000215993353,350117065025304,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,62,009750E7,,126.13,227.15,,62
0,P000100010000100001000000556,M000100010000100001012589009,06/02/2019,DD KARNATAKA 1,0,,12589009,000214217234,350117057002758,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,64,0099C887,,126.13,227.15,,64
0,P000100010000100001000000556,M000100010000100001012600847,05/31/2019,DD KARNATAKA 1,0,,12600847,000214504334,350117054050677,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,66,0096B45B,,61.36,153.40,,66
0,P000100010000100001000000556,M000100010000100001012662340,06/03/2019,DD KARNATAKA 1,0,,12662340,000215437575,350117038087530,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,68,009B6659,,61.36,153.40,,68
0,P000100010000100001000000556,M000100010000100001012662712,05/28/2019,DD KARNATAKA 1,0,,12662712,000215466624,350117036168647,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,69,009B6652,,126.13,227.15,,69
0,P000100010000100001000000556,M000100010000100001012663137,06/02/2019,DD KARNATAKA 1,0,,12663137,000215466657,350117036168696,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,70,009B6653,,126.13,227.15,,70
0,P000100010000100001000000556,M000100010000100001012663401,06/02/2019,DD KARNATAKA 1,0,,12663401,000215437401,350117038087399,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,71,009B6655,,126.13,227.15,,71
0,P000100010000100001000000556,M000100010000100001012663555,05/24/2019,DD KARNATAKA 1,0,,12663555,000215437450,350117038087381,Active,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,72,009B6656,,126.13,227.15,,72
