SystemNotes,guproplanid,guaccountid,ExpiryDate,ProPlanCode,B_Isvalid,CAFReserve,SMSSID,VCNO,STBNO,Status,CASType,RefNo,NextRenewal,LCOCode,GULCOID,SubsName,RowNumber,MainKey,DateofActivated,TotalB2BAmount,TotalB2CAmount,BillingDetails,id
0,P000100010000100001000000556,M000100010000100001011730062,05/06/2019,DD KARNATAKA 1,0,,11730062,000044797645,330013357182157,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,1,0097651E,,61.36,153.40,,1
0,P000100010000100001000000556,M000100010000100001012006998,05/06/2019,DD KARNATAKA 1,0,,12006998,000215753609,350117054055700,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,4,00987957,,61.36,153.40,,4
0,P000100010000100001000000556,M000100010000100001012007011,05/06/2019,DD KARNATAKA 1,0,,12007011,000215754466,350117054055718,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,8,00987956,,61.36,153.40,,8
0,P000100010000100001000000556,M000100010000100001012007514,05/06/2019,DD KARNATAKA 1,0,,12007514,000215783309,350116360113278,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,11,0097A63D,,61.36,153.40,,11
0,P000100010000100001000000556,M000100010000100001012011943,05/06/2019,DD KARNATAKA 1,0,,12011943,000215986654,350117065025346,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,13,009750FA,,104.98,202.96,,13
0,P000100010000100001000000556,M000100010000100001012012033,05/06/2019,DD KARNATAKA 1,0,,12012033,000215993338,350117065025262,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,14,009750E5,,61.36,153.40,,14
0,P000100010000100001000000556,M000100010000100001012012035,05/06/2019,DD KARNATAKA 1,0,,12012035,000215993387,350117065023812,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,16,009750F6,,61.36,153.40,,16
0,P000100010000100001000000556,M000100010000100001012012036,05/06/2019,DD KARNATAKA 1,0,,12012036,000215993395,350117065025270,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,17,00975508,,61.36,153.40,,17
0,P000100010000100001000000556,M000100010000100001012242707,05/06/2019,DD KARNATAKA 1,0,,12242707,000103375275,350115252138997,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,19,00647B51,,126.13,227.15,,19
0,P000100010000100001000000556,M000100010000100001012276105,05/06/2019,DD KARNATAKA 1,0,,12276105,000040386526,330013312294832,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,20,009CEBCA,,61.36,153.40,,20
0,P000100010000100001000000556,M000100010000100001012287970,05/06/2019,DD KARNATAKA 1,0,,12287970,000044549574,330013357081144,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,21,0050C65F,,61.36,153.40,,21
0,P000100010000100001000000556,M000100010000100001012300388,05/06/2019,DD KARNATAKA 1,0,,12300388,000042502898,330013360099208,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,22,009CEBAE,,61.36,153.40,,22
0,P000100010000100001000000556,M000100010000100001012399658,05/06/2019,DD KARNATAKA 1,0,,12399658,000206370132,350116014104129,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,23,008DEEB5,,126.13,227.15,,23
0,P000100010000100001000000556,M000100010000100001012534186,05/06/2019,DD KARNATAKA 1,0,,12534186,000214101818,350117055028250,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,27,0097A8EA,,126.13,227.15,,27
0,P000100010000100001000000556,M000100010000100001012536256,05/06/2019,DD KARNATAKA 1,0,,12536256,000214147506,350117038040711,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,28,0099C968,,126.13,227.15,,28
0,P000100010000100001000000556,M000100010000100001012538164,05/06/2019,DD KARNATAKA 1,0,,12538164,000214147332,350117038040653,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,30,0099C967,,126.13,227.15,,30
0,P000100010000100001000000556,M000100010000100001012539710,05/06/2019,DD KARNATAKA 1,0,,12539710,000215133729,350117055006561,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,31,0096B9A8,,126.13,227.15,,31
0,P000100010000100001000000556,M000100010000100001012540323,05/06/2019,DD KARNATAKA 1,0,,12540323,000214518250,350117054030315,Inactive,NDS,-,-,LCOBL3746,M000100010000100001000019351,Dummy,32,0096AA33,,126.13,227.15,,32
